City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
328,College,US,64.8569,-147.8028,-5.42,77,90,4.61,mist
329,Saint-Augustin,CA,51.226,-58.6502,26.96,72,100,12.1,overcast clouds
330,Kaitangata,NZ,-46.2817,169.8464,55.92,55,4,9.48,clear sky
331,Chokurdakh,RU,70.6333,147.9167,-46.16,99,93,1.95,overcast clouds
332,Tabora,TZ,-5.0167,32.8,64.78,90,61,6.11,light rain
333,Alice Springs,AU,-23.7,133.8833,94.55,14,1,5.75,clear sky
334,Kapan,AM,39.2075,46.4058,43.38,36,47,2.39,scattered clouds
335,Vuktyl,RU,63.8567,57.3094,11.26,87,86,7.27,overcast clouds
336,Bilma,NE,18.6853,12.9164,60.55,14,24,6.42,few clouds
337,Saint Anthony,US,45.0205,-93.218,24.58,75,1,1.99,clear sky
338,Hobyo,SO,5.3505,48.5268,78.42,78,25,19.44,scattered clouds
339,Yinchuan,CN,38.4681,106.2731,27.86,28,0,0.81,clear sky
340,Tuatapere,NZ,-46.1333,167.6833,57.81,46,0,9.64,clear sky
341,San Juan,AR,-31.5375,-68.5364,80.28,31,0,12.48,clear sky
342,Pomabamba,PE,-8.8333,-77.4667,50.7,83,55,6.38,broken clouds
343,Bandipur,NP,27.9333,84.4167,56.21,46,22,1.07,few clouds
344,Cozumel,MX,20.5083,-86.9458,77.11,82,6,3.0,clear sky
